Year,Country,Region,Forest_Area_km2,Population_Density,Agricultural_Land_Percent,Rainfall_mm,Temperature_C,Road_Density_km_per_km2,Mining_Activity,Protected_Area_Percent,Deforestation_Rate,Fire_Incidents,Logging_Activity,Urban_Expansion_Rate,Carbon_Emissions_kt,Label
2021,Brazil,Palawan,1861303,27,42.93092850720121,1557.3308640961234,25.3568897045603,0.18667539163583702,0.09602663584920666,10.815700268710362,0.027594181534977662,42,0.10666762297851443,0.5424273924364695,6049,danger
2018,Madagascar,Santa Cruz,4701765,74,32.247627705200465,1254.8988696683991,23.94190494599908,0.1019214103507313,0.0693169360253846,16.30016550379548,0.01524619182795875,14,0.17159904454547173,0.7056019138106722,2097,danger
2022,Peru,Sarawak,3394100,92,41.18066805696254,2308.7380790714724,28.482031285528954,0.10318532837983048,0.08013715354636368,21.510990156622064,0.018123352106086687,91,0.1473500441826455,0.7598054461398681,3903,danger
2019,Peru,Central Highlands,1697162,88,10.648015893578687,2974.9223185181854,24.92982710458089,0.03275188981510106,0.039763498573275304,29.011879318622487,0.01692824418489208,83,0.043121812616438084,0.581615191625267,5570,danger
2021,Colombia,Amazon,1546161,88,42.73521699118141,2313.150474800624,24.71902510564523,0.16250468638892177,0.03363127275049556,27.182607195024666,0.016190596816638123,45,0.07985985120515718,1.4849854349342677,5301,danger
2024,Madagascar,Sarawak,2279685,80,11.605554363414662,1830.2623958539257,24.903124894098283,0.056923428368741875,0.023448400678316994,14.567112283576954,0.024379769232347644,32,0.10157884190625553,1.7555116937046757,7376,danger
2017,Colombia,Eastern,2397501,37,45.5965350545145,2674.513551671322,28.467850018697455,0.18092637298073988,0.0480648028312409,14.40219660038327,0.018169222681737297,49,0.1620411699006671,1.0599731095489116,2042,danger
2021,Madagascar,Central,1173218,32,49.67850988954573,2041.0070062365999,28.31941541688052,0.18305660186277528,0.05518287335341685,14.023459342278015,0.012917928050630401,14,0.16782432062123298,1.811864715077301,3577,safe
2022,Philippines,Madre de Dios,4385250,12,21.762698487071113,3798.6030703798992,24.03519992440211,0.18922892125608845,0.06317748436527554,28.449977926050064,0.011453954191461958,43,0.1819436623815552,0.8200198618401897,6190,safe
2019,Brazil,Palawan,1103291,5,18.412742251431744,3767.9354188107163,23.33299859870525,0.1088437929295871,0.02571185039986945,27.053323062034412,0.005943682924185834,33,0.10184905010057504,0.9880856353418592,7885,safe
2018,Philippines,Santa Cruz,3161198,41,40.61453455432163,2507.1154599162865,24.919280240391295,0.13864781910889243,0.09486540809029907,25.497668645058976,0.01957987904707615,26,0.1388549492871726,0.7261054895467526,6283,danger
2022,Vietnam,Palawan,2679431,67,20.121053636810128,1983.6519820547755,25.727725097371092,0.15791801721171608,0.016975849820713585,17.854702284484553,0.010749035385025855,80,0.02236007424678743,1.430838793128498,2384,safe
2022,Bolivia,Sarawak,4709738,26,44.62249532688814,3211.3972418699173,22.38337210627997,0.034892777543588466,0.09656531747664124,20.087614085975336,0.008703348050409577,90,0.11305779199079642,1.1298043863054603,6914,safe
2017,Congo,Madre de Dios,1219407,74,14.113703686299068,1110.1388304492,27.939550847155907,0.12418186704952447,0.0014856122507503789,19.286634895903056,0.02134574909569194,31,0.04973836189422703,1.419925020262848,5471,danger
2020,Madagascar,Eastern,3038143,25,15.038207855174331,2424.307018130954,24.864827657324227,0.016516601247629218,0.048112569181684564,15.067962151187453,0.02203023144553872,24,0.08634337700532223,1.6425123580912753,5577,danger
2019,Vietnam,Amazonas,837913,39,49.16606220402463,2008.9701828110005,23.340455484199595,0.10453755584385792,0.03333678381165628,20.10056092297534,0.02380387230644165,24,0.12681010166134388,1.3185545240494227,5238,danger
2016,Bolivia,Amazon,4415770,83,36.953555930800185,3761.607655307664,21.068209929639906,0.03942010950784321,0.04491234139302508,10.60993095705509,0.017589422408464787,34,0.051397187570756224,1.4414455323526818,7244,danger
2022,Malaysia,Madre de Dios,828821,9,43.87548897715811,1036.0090818180477,22.38845160403607,0.044755355932796094,0.057066457898078904,12.636207469949184,0.027351365130097165,62,0.010437011559352217,1.9028754715914995,3696,danger
2020,Brazil,Central,2680707,64,22.97317509406072,2658.4446271550473,29.49281171755984,0.07935903767159429,0.04355891580127091,27.73179192337893,0.028408568834955693,30,0.002046771281751503,0.9485964644132647,4134,danger
2016,Colombia,Central Highlands,2201243,50,37.05934998082418,3221.990743199878,23.050996868195266,0.09216306167613557,0.0414846850301595,25.033595340628466,0.025184273494812236,75,0.00443190710890431,1.0387459079509296,5892,danger
2019,Colombia,Eastern,4387008,54,33.769673092343886,2455.053962572124,21.688592893670354,0.12840276066111558,0.07327234154133065,18.457368181181742,0.02088983705020468,41,0.0016699475027539324,1.5765550425640054,4536,danger
2015,Philippines,Amazon,2312375,52,34.12600480491788,1256.209090488165,24.606727916549932,0.02414139950331798,0.06858762750864647,20.343007245677544,0.012593023839779716,30,0.022071011311575097,1.41695827558308,6321,safe
2024,Peru,Santa Cruz,4127447,10,37.301298381508865,3917.3841700837065,23.070877433602487,0.10570143463511447,0.08332712820358479,17.399977719199548,0.02957362304050553,77,0.04789774291402598,0.7677993568095722,7776,danger
2020,Bolivia,Central Highlands,4115652,93,33.01436692516394,2554.0312941282937,20.35159250271194,0.04469877474808921,0.024995898123949558,24.815597343213447,0.011853404179798459,53,0.04424430283645984,1.0642209650157353,4392,safe
2023,Malaysia,Sarawak,568803,60,27.162494772106637,2842.5587329570344,23.23145217279417,0.11905528325603096,0.06095285097540636,25.68374358464159,0.010066423049760777,92,0.19735931883597935,1.2017570196870724,7993,safe
2015,Vietnam,Madre de Dios,1307744,63,21.036907775221874,1709.8293481225219,25.441086239394686,0.13110687632962487,0.05851947853928539,25.265703804063183,0.016053852844664568,75,0.06120122104178865,1.129084756952584,6613,danger
2024,Brazil,Amazon,1248736,33,40.743253236528076,2450.4942553204114,25.51712372019967,0.11577475874504223,0.03697378108726888,24.45223449668899,0.006421014267809711,99,0.025484156671879823,0.7674122124830611,7828,safe
2017,Bolivia,Sumatra,1199539,75,19.050897200127448,2287.448475874966,23.565589211768888,0.15027614699087846,0.048605754190268094,14.090086773855916,0.029462361616794767,23,0.1091125088335516,1.8866451376763935,5815,danger
2021,Malaysia,Amazonas,745404,81,37.694172246176564,1224.6875260059512,24.473027562526006,0.07376575640577125,0.031378214330572876,16.759399584809575,0.01971083891041062,24,0.17159149107950167,1.6434781425409637,2295,danger
2018,Congo,Amazonas,517297,22,19.333312905973067,1318.4810606424016,29.655179182347666,0.15537025241029487,0.01418443976169852,19.3969086996735,0.01892380229160438,29,0.13561207535753503,1.2220337481617785,2413,danger
2023,Madagascar,Eastern,1288443,6,35.01320679817816,3512.4175588563235,23.773484772303117,0.0922257455245568,0.021380121066273284,16.615859828553113,0.021394906997492996,43,0.05921641782709006,1.5200915424602548,7956,danger
2017,Colombia,Santa Cruz,4155074,12,39.883130685161156,1719.4598566197708,22.58226813259983,0.10199505468129338,0.01055136464012011,25.098804003166578,0.017425591194430164,45,0.112323231958291,1.8459240082032826,3995,danger
2019,Vietnam,Eastern,3765962,79,18.748555556261568,1584.8748144958918,22.434670440667603,0.13313940417960357,0.06830695751901242,16.587070484999096,0.00580158792736354,92,0.14297119484008183,0.7042612135423568,2003,safe
2017,Colombia,Sumatra,3526394,58,12.397732034452332,2514.7343537504175,24.57764612704134,0.013488092959852552,0.06607273931091516,12.764641735706743,0.02030778222100992,18,0.14562089847354848,0.8755595760604665,2177,danger
2021,Vietnam,Central,1727146,42,15.238949719766964,3306.241394087539,27.59520148716944,0.1342589020698472,0.0950606371579873,17.98080904096608,0.022904346923910766,80,0.13330769105953777,1.3140518708849676,2745,danger
2019,Philippines,Santa Cruz,3380304,52,34.23987869084102,1185.8395557369638,22.05988184188473,0.12753117832370192,0.07296784136472413,29.598288655647607,0.015418726515601326,39,0.1741620849551236,1.698515557028538,6354,danger
2023,Peru,Palawan,1833572,31,43.97785624902942,2730.4237589147674,27.09296127140768,0.06887095218312318,0.005204583875613145,14.517628258671518,0.02393238930177982,86,0.17402109166882088,0.5543823431622911,2651,danger
2021,Vietnam,Central,1115863,24,11.799872849416975,1357.6313285217202,20.21149823349416,0.026300914130903,0.08842451739289542,22.24317317886458,0.010675032483460516,72,0.11578731188140066,1.9760272252945408,7914,safe
2016,Colombia,Santa Cruz,4265056,16,39.36605036166585,1109.3831524768555,24.18932977983946,0.027277735483477818,0.08626751629457258,18.659460996794124,0.0105319147766546,44,0.08597127382224246,1.1823599043235957,7482,safe
2018,Philippines,Santa Cruz,3825315,47,23.652745838002083,1158.231856486652,27.758650652027868,0.18541251192719344,0.04433203207726987,11.420491352986533,0.009035424692189348,22,0.12831405911301996,1.0388467109325845,5889,safe
2023,Vietnam,Sumatra,1328791,65,29.1411347967809,3502.492324625324,23.387329557744316,0.14096307103290906,0.05858630505279216,19.75753211996119,0.014299868994729046,88,0.16364240027409263,0.9390866567596579,5271,safe
2016,Congo,Sarawak,4320887,35,47.154381993822625,1353.9174508841847,25.637371014453993,0.03414949661644068,0.09760783324725189,24.04328657296625,0.02617530088472709,55,0.0011304209682369449,0.7615350614763075,4482,danger
2024,Peru,Sumatra,3346274,95,23.278860189433818,1135.454093236876,22.04979232825911,0.07777740216869221,0.05323043638481663,20.264399516556374,0.02569780155372661,65,0.19839940180297022,1.6873608633950419,7392,danger
2023,Vietnam,Santa Cruz,4895564,65,28.61347735757944,2313.699661428737,27.41995391126172,0.12257176884130332,0.09053218283760898,27.442121274931623,0.014570605199087594,18,0.03657875446583985,1.9331212471191448,2289,safe
